gene,med,cv,sd,cvmod,r
TLR1,9.92460560533e-4,2.142885940608479,0.006598573252513052,2.6636052676383413,0.09090814635132191
TLR10,0.00181331307456,2.5257747572779414,0.012799638235881311,2.337416060106699,0.2347470058545037
TLR2,0.0313924441505,0.8661796321192917,0.03726642812147681,1.2975823630588894,0.270546255518319
TLR3,9.45238783533e-4,2.3185478469095027,0.006635640688657733,2.436477421859401,0.09193275000667518
TLR4,6.70123323847e-4,2.5509619912982386,0.005650856117421552,2.4422096882612885,0.06899827355266908
TLR5,0.00763052833443,1.6815944289908982,0.026879482168836705,1.7843844022469122,0.291150398079
TLR6,0.00874512551756,1.4991651363675378,0.02900568794128014,2.2584570039459693,0.22169806978032952
TLR7,0.001388179536215,2.2061504145938677,0.0085454585709865,2.3432182553778893,0.09593570428039214
TLR8,2.73278469877e-4,3.025156378401771,0.003717337535772633,2.6540685636643837,0.045089706571048285
TLR9,0.0702489427026,0.9381235133281554,0.09149708524840344,1.4138814503057837,0.6113189282901841
TLX1,0.00645030745393,1.9169676381944598,0.028145782457744777,2.2061491023733812,0.3284731545603534
TLX2,0.0298405018224,1.437043879637856,0.07936710327078908,1.9797694589188568,0.9690629750747874
TLX3,0.0133321900014,1.4226197503495484,0.03945769195166722,2.2117583392273543,0.32068978499181783
TM2D1,0.183024021623,0.830280479753015,0.19603852191453244,1.5040448854616741,0.924776660469302
TM2D2,0.204613053083,0.8918703724905803,0.25245826457748466,1.7465273258922451,0.9637953161698116
TM2D3,0.115786655779,1.0566520626726945,0.20298977678661875,1.9726537358895355,0.9572492994456957
TM4SF1,0.0165842996102,1.6117513499113565,0.055645577927576684,2.0616157274390727,0.5544542479107889
TM4SF18,0.0411735308484,1.0537486211956364,0.0636057501661602,1.455723487548048,0.5365540154431481
TM4SF19,0.00569664903045,1.7493045833959526,0.02197543824400001,1.9422462405790846,0.2509134213921922
TM4SF20,0.00524779985082,1.745319744015413,0.02088698432791894,2.024888475908545,0.18987064358733888
TM4SF4,0.0404776650124,1.0820472459556814,0.0685606939218531,1.5502375039438923,0.451946998320817
TM4SF5,0.00330420932759,2.3734168040114767,0.02383941118556867,2.639632974440368,0.31043457237204625
TM6SF1,0.0269589114306,1.3986628543800976,0.07356211351526114,1.7876656623975342,0.6939951124271617
TM6SF2,0.113490615906,0.8566200452130571,0.1232803915712766,1.4495302154828011,0.6610828671468769
TM7SF2,0.41119144899,0.49136391354915004,0.20319848891469497,0.7412761870503118,0.90476902307841
TM7SF3,0.00348499181744,2.4438606166904595,0.028302765392073003,2.6673841821466606,0.43722671350331876
TM9SF1,0.014512987756,1.7260869595031274,0.055826936012187696,2.2189000231559213,0.6084692714650222
TM9SF2,0.199547762666,0.824145646134968,0.2115821863333265,1.453209901420304,0.936587447927377
TM9SF3,0.02137396031,1.9898234517587678,0.15667220743618265,2.6654983267380272,0.9269808396208973
TM9SF4,0.137591545062,0.882890965605623,0.15845588729175736,1.4628851267074667,0.831186191081569
TMA16,0.95586576863,0.06296156111947573,0.05923231904361799,0.04889098151823197,0.515090620233
TMA7,0.210403955582,0.7249794103261629,0.18386240960907463,1.1871210372927428,0.83485848472248
TMBIM1,0.0180106990411,1.2215727985318727,0.03849772601104183,1.7080486946091984,0.2911769322100658
TMBIM4,0.0500152043823,1.3467274258611737,0.11485577143271192,1.6901708455882274,0.8587283667718416
TMBIM6,0.00205615058564,2.562989428917969,0.017659610244307237,2.7388049805380206,0.22222082082732017
TMC1,0.0163061750894,1.4562992790911795,0.05084056064656009,2.312883579992745,0.45477474480391933
TMC2,0.00407321323779,2.555653233558666,0.03151468023718374,2.315256653412213,0.4921580186006327
TMC3,7.53739079715e-4,2.6239846232305686,0.00604075250921127,2.2994841882490062,0.07863239756864322
TMC4,0.0259863142109,1.4071381151800086,0.06435909164158703,1.707962574510979,0.7588397278386024
TMC5,0.0453836848898,1.0910475820955858,0.07350667237555712,1.5692661196800817,0.70311992419
TMC6,0.00867558596708,1.8390778826570795,0.032654777715900064,2.032584797307374,0.5667042613125024
TMC7,0.00752260779469,1.9908372562809222,0.03496699602324774,2.016791114053448,0.39109943025135085
TMC8,0.010923450213,1.7979378149906942,0.04544011663413522,2.572826192330081,0.6539951814741997
